,LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Latitude,Longitude
493699,0003334288-0001-9,THE SECOND CHANCES CORP.,ONE ZO BOBA,8500 BEVERLY BLVD SUITE #650,LOS ANGELES,90048-6201,8500 Beverly 90048-6201,14025 RIVERGLEN DRIVE,EASTVALE,92880-3848,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,08/12/2022,,"(34.0749, -118.3775)",34.0749,-118.3775
493705,0002502849-0004-5,"DFD ALLIANCE, INC.",BEVARIS  ALLIANCE,4533   LAUREL CANYON BLVD,STUDIO CITY,91607-4122,4533 LAUREL CANYON 91607-4122,16055 VENTURA BLVD SUITE #1225,ENCINO,91436-2625,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2,09/25/2014,,"(34.1533, -118.3979)",34.1533,-118.3979
494029,0003334717-0001-0,JX JERICHO CORPORATION,6XS SENSE COFFEE,888 S HOPE STREET SUITE #123,LOS ANGELES,90017-4600,888 Hope 90017-4600,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,11/01/2022,,"(34.0452, -118.2599)",34.0452,-118.2599
494447,0000155172-0016-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #72294,1411 W SUNSET BLVD,LOS ANGELES,90026-3431,1411 Sunset 90026-3431,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,12/19/2022,,"(34.0746, -118.2518)",34.0746,-118.2518
494654,0003012026-0016-6,ADVANCED FRESH CONCEPTS FRANCHISE CORP.,AFC SUSHI @RALPH'S #704,16940 DEVONSHIRE STREET,GRANADA HILLS,91344-7406,16940 Devonshire 91344-7406,19700 MARINER AVENUE,TORRANCE,90503-1648,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12,04/19/2023,,"(34.2567, -118.5015)",34.2567,-118.5015
495367,0003363491-0001-9,BEST COFFEE MID CITY LLC,MADLAB COFFEE,5508 W PICO BLVD,LOS ANGELES,90019-3916,5508 PICO 90019-3916,5936 W SUNSET BLVD,LOS ANGELES,90028-6521,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,03/15/2023,,"(34.0489, -118.3584)",34.0489,-118.3584
495387,0003368238-0001-9,DEAN YUNSANG KIM,PUPPYLANDLA,927 FEDORA STREET,LOS ANGELES,90006-1403,927 Fedora 90006-1403,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,04/01/2023,,"(34.0551, -118.2979)",34.0551,-118.2979
495495,0002578313-0001-0,FRESH START GOURMET LLC,,15904 STRATHERN STREET SUITE #11,VAN NUYS,91406-1314,15904 STRATHERN 91406-1314,15904 RATHERN STREET SUITE #1,VAN NUYS,91406-1314,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,02/18/2010,,"(34.2156, -118.4794)",34.2156,-118.4794
495836,0000339181-0001-1,TEST LABORATORIES INC,BREWSTER FOODS-A TEST LABORATORIES CO,7121 CANBY AVENUE,RESEDA,91335-4304,7121 CANBY 91335-4304,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,07/01/1953,,"(34.1996, -118.5347)",34.1996,-118.5347
496392,0003114702-0001-0,GMNDP INC,,9030   OWENSMOUTH AVENUE   UNIT #13,CANOGA PARK,91304-1416,9030 OWENSMOUTH 91304-1416,11856   BALBOA BLVD   UNIT #333,GRANADA HILLS,91344-2753,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,01/01/2019,,"(34.2346, -118.6013)",34.2346,-118.6013
496462,0003335377-0001-6,RAJ JAWA,BEVERLY HILLS INDIA SWEETS AND SPICES,567 S FAIRFAX AVENUE,LOS ANGELES,90036-3128,567 Fairfax 90036-3128,POST OFFICE BOX #5,NORTH HOLLYWOOD,91603-0005,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,10/17/2022,,"(34.0655, -118.3617)",34.0655,-118.3617
497225,0002664135-0010-9,VENTURE ONE GROUP INC,JUICE CRAFTERS,17200 VENTURA BLVD SUITE #223A,ENCINO,91316-5001,17200 VENTURA 91316-5001,149 S BARRINGTON AVENUE #189,LOS ANGELES,90049-3310,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,09/08/2020,,"(34.1599, -118.5078)",34.1599,-118.5078
497722,0002873789-0027-9,EVERYTABLE PBC,,10912 LINDBROOK DRIVE,LOS ANGELES,90024-3408,10912 LINDBROOK 90024-3408,POST OFFICE BOX #58048,LOS ANGELES,90058-0048,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,11/14/2022,,"(34.0594, -118.4449)",34.0594,-118.4449
497784,0002929466-0007-6,SHAKE SHACK CALIFORNIA LLC,SHAKE SHACK CALIFORNIA LLC 1405,3903 W SUNSET BLVD,LOS ANGELES,90029-2241,3903 SUNSET 90029-2241,225 VARICK STREET SUITE #301,NEW YORK,10014-5816,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,10/10/2022,,"(34.0922, -118.2796)",34.0922,-118.2796
498360,0003337423-0001-2,VICTOR MANUEL RAMIREZ,JIMENEZ BAKERY,1111 PACIFIC COAST HIGHWAY,HARBOR CITY,90710-3549,1111 Pacific Coast 90710-3549,1111 PACIFIC COAST HIGHWAY UNIT #8,HARBOR CITY,90710-3544,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",15,11/03/2022,,"(33.7908, -118.2958)",33.7908,-118.2958
499788,0003341406-0001-1,ZAM ZAM HALAL FOODS INC,ZAM ZAM FOODS,15007 S HARVARD BLVD,GARDENA,90247-3121,15007 Harvard 90247-3121,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,11/28/2022,,"(33.8953, -118.3071)",33.8953,-118.3071
499962,0003339974-0001-1,STEPANIAN SWEETS INC,,10957 CROCKETT STREET,SUN VALLEY,91352-3337,10957 Crockett 91352-3337,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,11/16/2022,,"(34.2213, -118.3696)",34.2213,-118.3696
500253,0003063388-0001-2,BLEU RIBBON DELICACIES LLC,NATURE CURE FINE FISH,7409 BELLAIRE AVENUE,NORTH HOLLYWOOD,91605-4304,7409 BELLAIRE 91605-4304,700 E 6TH STREET,LOS ANGELES,90021-1014,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2,10/11/2017,,"(34.206, -118.4099)",34.206,-118.4099
500695,0003342889-0001-4,UNITED SALES LA INC,,9765 TUJUNGA CANYON BLVD,TUJUNGA,91042-3450,9765 Tujunga Canyon 91042-3450,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",7,12/18/2014,,"(34.2447, -118.2766)",34.2447,-118.2766
501844,0003326458-0001-2,TAEJIN BEVERAGE INC,SANS,6390 DE LONGPRE AVENUE APT #1109,LOS ANGELES,90028-8782,6390 DE LONGPRE 90028-8782,6390 DE LONGPRE AVENUE APT #1109,LOS ANGELES,90028-8782,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,09/01/2022,,"(34.0961, -118.3289)",34.0961,-118.3289
502112,0003343888-0001-7,HECTOR D AGUILAR,DE LA TIERRA CAFE,1144 N VERMONT AVENUE,LOS ANGELES,90029-1702,1144 VERMONT 90029-1702,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,01/01/2023,,"(34.0922, -118.2917)",34.0922,-118.2917
502943,0002515983-0001-4,"EDS & CO, INC",,330 S BURNSIDE AVENUE APT #9H,LOS ANGELES,90036-3270,330 BURNSIDE 90036-3270,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,05/24/2010,,"(34.0696, -118.3546)",34.0696,-118.3546
503001,0003374170-0001-6,MIRNA NAVARRO ARISTONDO,,5951   RAYMOND AVENUE,LOS ANGELES,90044-2834,5951 Raymond 90044-2834,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,01/01/2019,,"(33.9865, -118.2982)",33.9865,-118.2982
503198,0003377973-0001-7,D&C MART INC.,UNIVERSAL GROCERY STORE,7511 S CENTRAL AVENUE,LOS ANGELES,90001-2426,7511 Central 90001-2426,7511 S CENTRAL AVENUE,LOS ANGELES,90001-2426,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,05/20/2023,,"(33.9717, -118.2567)",33.9717,-118.2567
503403,0002810069-0002-9,TOMO FOODS INC,,7816 CLYBOURN AVENUE,SUN VALLEY,91352-4626,7816 Clybourn 91352-4626,3334 BURTON AVENUE,BURBANK,91504-3105,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2,01/01/2023,,"(34.2126, -118.3635)",34.2126,-118.3635
503428,0003374345-0001-4,TIGER BAO LLC,,1824   MANNING AVENUE   APT #5,LOS ANGELES,90025-4869,1824 Manning 90025-4869,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,05/04/2023,,"(34.0519, -118.4302)",34.0519,-118.4302
503852,0003378338-0001-3,ENIGMA COFFEE SUNSET LLC,ENIGMA COFFEE,5900 SEPULVEDA BLVD UNIT #100,VAN NUYS,91411-2511,5900 Sepulveda 91411-2511,7801 W SUNSET BLVD,LOS ANGELES,90046-3305,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,05/30/2023,,"(34.1776, -118.4655)",34.1776,-118.4655
503919,0003378386-0001-2,DRIFT COFFEE,,12541 VAN NUYS BLVD,PACOIMA,91331-1384,12541 VAN NUYS 91331-1384,17051 LORILLARD STREET,GRANADA HILLS,91344-2545,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",7,06/12/2023,,"(34.2777, -118.4063)",34.2777,-118.4063
505318,0003347434-0001-7,MEG METTIE & MOXIE INC,MADE BY MEG,234 S PACIFIC COAST HIGHWAY SUITE #101,REDONDO BEACH,90277-3394,234 Pacific Coast 90277-3394,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,12/16/2022,,"(33.8391, -118.3851)",33.8391,-118.3851
505332,0003348498-0001-4,DARA DOLLIOLE,,22401 BALTAR STREET,WEST HILLS,91304-3724,22401 Baltar 91304-3724,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12,08/01/2019,,"(34.2165, -118.615)",34.2165,-118.615
505407,0003253085-0001-9,EDUARDO JORGE MARAMBIO,,8695 VENICE BLVD,LOS ANGELES,90034-2531,8695 VENICE 90034-2531,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,04/28/2021,,"(34.0331, -118.3823)",34.0331,-118.3823
505636,0002578760-0001-7,"NESPRESSO USA, INC",,10250 SANTA MONICA BLVD,LOS ANGELES,90067-6501,10250 SANTA MONICA 90067-6501,30003 BAINBRIDGE ROAD,SOLON,44139-2205,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,09/19/2011,,"(34.0594, -118.4208)",34.0594,-118.4208
505935,0003342744-0001-9,CYZRGY LLC,DR. ZOOG'S,672 S SANTA FE AVENUE,LOS ANGELES,90021-1315,672 SANTA FE 90021-1315,147 W ROUTE 66 UNIT #208,GLENDORA,91740-6208,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,02/24/2022,,"(34.0358, -118.2299)",34.0358,-118.2299
506211,0002062624-0001-5,KARMEN MARCOSSIAN,SALLY'S SNACK SHOP,228 W 6TH STREET,LOS ANGELES,90014-1802,228 6TH 90014-1802,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,05/02/2005,,"(34.0464, -118.2516)",34.0464,-118.2516
506376,0002578760-0005-0,"NESPRESSO USA, INC",,6600   TOPANGA CANYON BLVD,CANOGA PARK,91303-2609,6600 TOPANGA CANYON 91303-2609,111 W 33RD STREET,NEW YORK,10001-2904,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,09/15/2017,,"(34.1914, -118.6039)",34.1914,-118.6039
506574,0003304706-0001-2,NORMA DE MEDRANO,ON KITCHENS,1870 W WASHINGTON BLVD,LOS ANGELES,90007-1152,1870 WASHINGTON 90007-1152,1424 MONTEREY ROAD #5,SOUTH PASADENA,91030-3844,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1,03/14/2022,,"(34.0397, -118.2997)",34.0397,-118.2997
506799,0000830484-0007-1,WEIRD WILLIE'S II A CALIFORNIA CORPORATION,PURPLE HAZE SMOKE SHOP,16851 VICTORY BLVD UNIT #8,VAN NUYS,91406-5560,16851 VICTORY 91406-5560,18875 KIRKCOLM LANE,NORTHRIDGE,91326-1141,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,01/19/2021,,"(34.187, -118.5007)",34.187,-118.5007
506905,0003095019-0002-9,MORIS E VALLE,LA PRIME CAFFE,4626 W ADAMS BLVD,LOS ANGELES,90016-3002,4626 ADAMS 90016-3002,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,01/01/2023,,"(34.0325, -118.3413)",34.0325,-118.3413
507063,0003344387-0001-9,LULUNE INC,,3901 1/2 W OLYMPIC BLVD,LOS ANGELES,90019-3256,3901 OLYMPIC 90019-3256,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,11/08/2022,,"(34.0537, -118.3196)",34.0537,-118.3196
507175,0002651589-0002-9,CAPITAL ONE NATIONAL ASSOCIATION,,6600 TOPANGA CANYON BLVD,CANOGA PARK,91303-2609,6600 Topanga Canyon 91303-2609,251 LITTLE FALLS DRIVE,WILMINGTON,19808-1674,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,12/07/2022,,"(34.1914, -118.6039)",34.1914,-118.6039
507758,0002528974-0001-3,MARY ARGIANAS,SIMPLY SNACKABLE,11853 BURBANK BLVD UNIT #105,VALLEY VILLAGE,91607-1908,11853 BURBANK 91607-1908,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2,11/04/2010,,"(34.1721, -118.3913)",34.1721,-118.3913
507803,0002892654-0001-9,MANUEL TORRES GUZMAN,MANNY'S COFFEE,8219 IRONDALE AVENUE,WINNETKA,91306-1717,8219 IRONDALE 91306-1717,8219   IRONDALE AVENUE,WINNETKA,91306-1717,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,03/01/2016,,"(34.2189, -118.585)",34.2189,-118.585
507817,0003344440-0001-1,TABA 323 INC,,3827 W SUNSET BLVD UNIT #D,LOS ANGELES,90026-1594,3827 Sunset 90026-1594,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,11/16/2022,,"(34.0917, -118.2792)",34.0917,-118.2792
508380,0003126619-0002-6,VERVE LLC,VERVE COFFEE ROASTERS,833 S SPRING STREET,LOS ANGELES,90014-2907,833 Spring 90014-2907,104 BRONSON STREET #19,SANTA CRUZ,95062-3489,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,01/01/2023,,"(34.0425, -118.2547)",34.0425,-118.2547
508400,0002477385-0004-6,ANTONIA MARLENE NUNEZ,SNACKS BY ANTONIA,6455 VAN NUYS BLVD SPACE #3,VAN NUYS,91401-1435,6455 Van Nuys 91401-1435,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,06/01/2023,,"(34.1879, -118.4493)",34.1879,-118.4493
508457,0003377698-0001-2,JUAN CARLOS RODRIGUEZ,,1713 E VERNON AVENUE SUITE #115,LOS ANGELES,90058-1729,1713 Vernon 90058-1729,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,06/01/2023,,"(34.0042, -118.2423)",34.0042,-118.2423
508654,0003375646-0001-1,DISCOUNT DEPOT INC,,10750 GLENOAKS BLVD UNIT #9,PACOIMA,91331-7279,10750 GLENOAKS 91331-7279,10750 GLENOAKS BLVD SUITE #8,PACOIMA,91331-7278,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",7,11/03/2022,,"(34.2654, -118.4022)",34.2654,-118.4022
509095,0003352943-0001-7,CAMP SCOVILLE,CAMP SCOVILLE LLC,29001 ELDER CREEK LANE,HIGHLAND,92346-3957,29001 Elder Creek 92346-3957,29001 ELDER CREEK LANE,HIGHLAND,92346-3957,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,02/01/2023,,"(34.1186, -117.1715)",34.1186,-117.1715
509178,0003205621-0001-1,ASHAPOPS LLC,,6130 AVALON BLVD UNIT #303,LOS ANGELES,90003-1633,6130 AVALON 90003-1633,8660 BURTON WAY UNIT #209,LOS ANGELES,90048-3948,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,02/16/2018,,"(33.9835, -118.2642)",33.9835,-118.2642
509273,0003321295-0001-1,MARIANO RAMIREZ GARCIA,MIEL PURA DE ABEJA Y VARIOS,7355 LANKERSHIM BLVD SUITE #66,NORTH HOLLYWOOD,91605-3847,7355 LANKERSHIM 91605,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2,05/01/2022,,"(34.2043, 34.2043)",34.2043,34.2043
509281,0003355075-0001-5,MAYRA CARDENAS,VARIEDADES Y BOTANICA SANTA MARTHA,3019 WABASH AVENUE,LOS ANGELES,90063-2717,3019 Wabash 90063-2717,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,01/25/2019,,"(34.0498, -118.1963)",34.0498,-118.1963
509886,0003353606-0001-9,ROSA E PALMA,MI TIENDITA RP,147 W WASHINGTON BLVD,LOS ANGELES,90015-3544,147 Washington 90015-3544,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,01/01/2023,,"(34.0318, -118.2659)",34.0318,-118.2659
509932,0003353934-0001-5,STEPHANIE SANDOVAL,,7937 CALOBAR AVENUE,WHITTIER,90606-2538,7937 Calobar 90606-2538,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,02/03/2023,,"(33.9688, -118.0538)",33.9688,-118.0538
510926,0003294202-0001-5,LUCILA PEREZ,,1039 E 51ST STREET,LOS ANGELES,90011-4117,1039 51ST 90011-4117,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,01/31/2022,,"(33.9969, -118.2574)",33.9969,-118.2574
511138,0002615621-0005-7,LE ZINC BAR LLC,ZINQUE,5200 W WASHINGTON BLVD,LOS ANGELES,90016-1309,5200 Washington 90016-1309,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,11/01/2022,,"(34.041, -118.3542)",34.041,-118.3542
511425,0000155172-0012-1,STARBUCKS CORPORATION,STARBUCKS COFFEE CO #65626,3785 WILSHIRE BLVD UNIT #107F,LOS ANGELES,90010-2889,3785 Wilshire 90010-2889,POST OFFICE BOX #34442STAX2,SEATTLE,98124,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,05/05/2022,,"(34.0628, -118.3087)",34.0628,-118.3087
511740,0003350164-0001-9,SAUCY LLAMA FOODS,,15136 STAGG STREET,VAN NUYS,91405-1025,15136 STAGG 91405-1025,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,01/05/2023,,"(34.2119, -118.4631)",34.2119,-118.4631
512148,0002578760-0003-3,"NESPRESSO USA, INC",NESPRESSO BOUTIQUE AT BLOOMINGDALES,14060 RIVERSIDE DRIVE,SHERMAN OAKS,91423-1918,14060 RIVERSIDE 91423-1918,112 W 34TH STREET,NEW YORK,10120-0101,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,10/01/2013,,"(34.1576, -118.4394)",34.1576,-118.4394
512284,0003351298-0001-3,LIGHTWAVE COFFEE LLC,,3221 S HILL STREET    #114,LOS ANGELES,90007-4635,3221 HILL 90007-4635,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,01/01/2023,,"(34.0209, -118.2746)",34.0209,-118.2746
512997,0003125234-0001-2,EDGAR CATALAN,PIKADITAS HOME MADE CUISINE,18424 HALSTED STREET    #16,NORTHRIDGE,91325-2144,18424 HALSTED 91325-2144,18424   HALSTED STREET   #16,NORTHRIDGE,91325-2144,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12,05/13/2019,,"(34.2441, -118.5348)",34.2441,-118.5348
514361,0003214850-0001-2,"THE YORI, INC",,536 N ARDEN BLVD,LOS ANGELES,90004-1209,536 ARDEN 90004-1209,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,10/06/2020,,"(34.0801, -118.3257)",34.0801,-118.3257
514886,0003354790-0001-0,CRENSHAW COFFEE CO LLC,,2710 W SLAUSON AVENUE,LOS ANGELES,90043-3252,2710 SLAUSON 90043-3252,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,01/01/2023,,"(33.9888, -118.323)",33.9888,-118.323
514894,0002720968-0001-1,SUT FOODS INC,,16001 S SAN PEDRO STREET    #B,GARDENA,90248-2543,16001 SAN PEDRO 90248-2543,18322 GLENBURN AVENUE,TORRANCE,90504-5026,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,01/02/2014,,"(33.8869, -118.266)",33.8869,-118.266
515444,0003360799-0001-8,AUMPA DARAROUKSA,,7542 BELLINGHAM AVENUE,NORTH HOLLYWOOD,91605-3677,7542 Bellingham 91605-3677,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2,03/02/2023,,"(34.2077, -118.3986)",34.2077,-118.3986
515940,0003075081-0001-7,FILTHY RICH BANANA PUDDING LLC,FILTHY RICH BANANA PUDDING,360 TEMPLE AVENUE UNIT #3,LONG BEACH,90814-7517,360 TEMPLE 90814-7517,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,09/12/2018,,"(33.7703, -118.1586)",33.7703,-118.1586
516005,0003361470-0001-2,FOREVER HEALTHY,,10158 MASON AVENUE,CHATSWORTH,91311-3301,10158 Mason 91311-3301,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12,01/01/2022,,"(34.2552, -118.5798)",34.2552,-118.5798
516317,0000835192-0002-6,BROADWAY FUEL INC,B & K SHELL,3200 N BROADWAY,LOS ANGELES,90031-2802,3200 BROADWAY 90031-2802,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,01/01/2023,,"(34.0735, -118.2075)",34.0735,-118.2075
516434,0002806001-0001-0,NATROL LLC,,21411 PRAIRIE STREET,CHATSWORTH,91311-5829,21411 PRAIRIE 91311-5829,140 GRAND STREET SUITE #300,WHITE PLAINS,10601-4840,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12,12/05/2014,,"(34.239, -118.5978)",34.239,-118.5978
516563,0002254386-0001-1,ZINET ABOUBAKER,,20115 SHERMAN WAY,WINNETKA,91306-3206,20115 SHERMAN 91306-3206,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,06/19/2007,,"(34.2011, -118.5713)",34.2011,-118.5713
516796,0003140340-0001-2,NOEMI TOWERS,,8713   MATILIJA AVENUE,PANORAMA CITY,91402-3319,8713 MATILIJA 91402-3319,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,07/29/2019,,"(34.2281, -118.4367)",34.2281,-118.4367
517121,0003270233-0001-9,HOTDOG LA INC,,118 JAPANESE VILLAGE PLAZA MALL,LOS ANGELES,90012-3909,118 JAPANESE VILLAGE PLAZA 90012-3909,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,08/13/2021,,"(34.049, -118.2396)",34.049,-118.2396
517181,0003358433-0001-6,SELVIN NAVARRO MIRANDA,LA ESPREANZA MARKET,4900 S BROADWAY,LOS ANGELES,90037-3212,4900 Broadway 90037-3212,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,02/23/2023,,"(33.9982, -118.278)",33.9982,-118.278
517326,0000155171-0002-9,STARBUCKS CORPORATION,STARBUCKS COFFEE #70567,300 S SANTA FE AVENUE    #D,LOS ANGELES,90013-3100,300 Santa Fe 90013-3100,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,05/04/2023,,"(34.0439, -118.2325)",34.0439,-118.2325
518126,0002838116-0001-8,AWAN SCRUB TECHNOLOGY /C,RITA'S ICE CUSTARD HAPPINESS,11134 PALMS BLVD,LOS ANGELES,90034-6503,11134 PALMS 90034-6503,7816 YORKTOWN PLACE,LOS ANGELES,90045-3136,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,06/26/2015,,"(34.0193, -118.4219)",34.0193,-118.4219
519224,0003296557-0001-5,"FRESH GRILL, LLC",,111 E GARRY AVENUE,SANTA ANA,92707-4201,111 GARRY 92707,111 E GARRY AVENUE,SANTA ANA,92707-4201,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,02/01/2022,,"(33.7067, 33.7067)",33.7067,33.7067
519960,0003198913-0001-4,MASCARI FAMILY LLC,GROCERY OUTLET OF CANOGA PARK,8230 TOPANGA CANYON BLVD,CANOGA PARK,91304-3840,8230 TOPANGA CANYON 91304-3840,7426 ASMAN AVENUE,WEST HILLS,91307-1706,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,08/27/2020,,"(34.2192, -118.6055)",34.2192,-118.6055
520442,0002910512-0001-7,OSCAR NOE TORRES,CHORIZO DON FELIPE,9921   TELFAIR AVENUE,PACOIMA,91331-3446,9921 TELFAIR 91331-3446,11777 FOOTHILL BLVD APT #H5,SYLMAR,91342-7272,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",7,05/16/2016,,"(34.2499, -118.4116)",34.2499,-118.4116
520606,0003139190-0001-3,OCEANITAN LLC,,2937 E PICO BLVD,LOS ANGELES,90023-3629,2937 PICO 90023-3629,4740 E 26TH STREET,VERNON,90058-5402,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,05/15/2019,,"(34.0192, -118.2162)",34.0192,-118.2162
521291,0003133827-0001-3,RACHEL ALICIA SMITH,SPRINGBACK BAKE SHOP,14220   BURBANK BLVD   UNIT #219,SHERMAN OAKS,91401-4932,14220 BURBANK 91401-4932,203 E OLIVE AVENUE APT #4,MONROVIA,91016-3559,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,06/23/2019,,"(34.1717, -118.4429)",34.1717,-118.4429
522106,0003295436-0001-8,SWEET EARTH INC,,3080 HILLTOP ROAD,MOSS LANDING,95039-9692,3080 Hilltop 95039-9692,1812 N MOORE STREET,ARLINGTON,22209-1815,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,01/01/2022,,"(36.8645, 36.8645)",36.8645,36.8645
522421,0003366181-0001-2,CAR LABS LLC,,9601 N CORBINA LANE,PANORAMA CITY,91402-7010,9601 CORBINA 91402,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,01/01/2023,,"(34.2262, 34.2262)",34.2262,34.2262
522478,0003213107-0001-1,"DIAMOND LANE COFFEE COMPANY, LLC",DIAMOND LANE COFFEE COMPANY,5525 CARLTON WAY    #14,LOS ANGELES,90028-6861,5525 Carlton 90028-6861,2301 S MOPAC EXPRESSWAY APT #504,AUSTIN,78746-7959,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,04/20/2018,,"(34.1009, -118.3102)",34.1009,-118.3102
